,Athlete,Gender,Event,Medal,DOB,height,weight_lbs,weight_kg,DOB1,Age,Year
0,"HAJOS, Alfred",Men,100m freestyle,Gold,"February 1, 1878",,,#VALUE!,"February 1, 1878",18.5917808219,1896
1,"HERSCHMANN, Otto",Men,100m freestyle,Silver,"January 4, 1877",,,#VALUE!,"January 4, 1877",19.6684931507,1896
2,"CHOROPHAS, Efstathios",Men,400m freestyle,Bronze,,,,#VALUE!,,,1896
3,"NEUMANN, Paul",Men,400m freestyle,Gold,26-Jan-25,177.8,,#VALUE!,26-Jan-25,,1896
4,"PEPANOS, Antonios",Men,400m freestyle,Silver,1866,,,#VALUE!,1866,,1896
5,"HALMAY, Zoltan",Men,1500m freestyle,Bronze,"June 18, 1881",,,#VALUE!,"June 18, 1881",19.2164383562,1900
6,"JARVIS, John Arthur",Men,1500m freestyle,Gold,"February 24, 1872",,,#VALUE!,"February 24, 1872",,1900
7,"WAHLE, Otto",Men,1500m freestyle,Silver,"November 5, 1879",,,#VALUE!,"November 5, 1879",20.8356164384,1900
8,"DROST, Johannes",Men,200m backstroke,Bronze,"June 22, 1880",,,#VALUE!,"June 22, 1880",20.2054794521,1900
9,"HOPPENBERG, Ernst",Men,200m backstroke,Gold,"July 26, 1878",,,#VALUE!,"July 26, 1878",22.1150684932,1900
10,"RUBERL, Karl",Men,200m backstroke,Silver,"October 3, 1880",,,#VALUE!,"October 3, 1880",19.9232876712,1900
11,"RUBERL, Karl",Men,200m freestyle,Bronze,"October 3, 1880",,,#VALUE!,"October 3, 1880",19.9232876712,1900
12,"LANE, Frederick C.V.",Men,200m freestyle,Gold,"February 2, 1880",,,#VALUE!,"February 2, 1880",20.5917808219,1900
13,"HALMAY, Zoltan",Men,200m freestyle,Silver,"June 18, 1881",,,#VALUE!,"June 18, 1881",19.2164383562,1900
14,"ZACHARIAS, Georg",Men,100m backstroke,Bronze,,,,#VALUE!,,,1904
15,"BRACK, Walter",Men,100m backstroke,Gold,"November 20, 1880",,,#VALUE!,"November 20, 1880",23.7917808219,1904
16,"HOFFMANN, Georg",Men,100m backstroke,Silver,"March 21, 1880",,,#VALUE!,"March 21, 1880",24.4602739726,1904
17,"LEARY, J. Scott",Men,100m freestyle,Bronze,,,,#VALUE!,,,1904
18,"HALMAY, Zoltan",Men,100m freestyle,Gold,"June 18, 1881",,,#VALUE!,"June 18, 1881",23.2164383562,1904
19,"DANIELS, Charles",Men,100m freestyle,Silver,"October 28, 1936 (age 80 years)",187.96,154,70,"October 28, 1936 ",,1904
20,"GAILEY, Francis",Men,1500m freestyle,Bronze,"January 21, 1882",,,#VALUE!,"January 21, 1882",22.6219178082,1904
21,"RAUSCH, Emil",Men,1500m freestyle,Gold,"September 11, 1883",,,#VALUE!,"September 11, 1883",20.9835616438,1904
22,"KISS, Geza",Men,1500m freestyle,Silver,"October 22, 1882",,,#VALUE!,"October 22, 1882",21.8712328767,1904
23,"RAUSCH, Emil",Men,200m freestyle,Bronze,"September 11, 1883",,,#VALUE!,"September 11, 1883",20.9835616438,1904
24,"DANIELS, Charles",Men,200m freestyle,Gold,"October 28, 1936 (age 80 years)",187.96,154,70,"October 28, 1936 ",,1904
25,"GAILEY, Francis",Men,200m freestyle,Silver,"January 21, 1882",,,#VALUE!,"January 21, 1882",22.6219178082,1904
