,Year,Event,Athlete,Gender,DOB,height,DOB1,Medal,Age
0,1986,50 metre freestyle,Tom Jager,Men,"October 6, 1964 (age 52 years)",190.5,"October 6, 1964",Gold,21.9178082192
1,1986,50 metre freestyle,Dano Halsall,Men,"February 16, 1963 (age 53 years)",,"February 16, 1963",Silver,23.5561643836
2,1986,50 metre freestyle,Matt Biondi,Men,"October 8, 1965 (age 51 years)",200.66,"October 8, 1965",Bronze,20.9123287671
3,1991,50 metre freestyle,Tom Jager,Men,"October 6, 1964 (age 52 years)",190.5,"October 6, 1964",Gold,26.9205479452
4,1991,50 metre freestyle,Matt Biondi,Men,"October 8, 1965 (age 51 years)",200.66,"October 8, 1965",Silver,25.9150684932
5,1991,50 metre freestyle,Gennadiy Prigoda,Men,"May 2, 1965 (age 51 years)",180.34,"May 2, 1965",Bronze,26.3506849315
6,1994,50 metre freestyle,Alexander Popov,Men,"November 16, 1971 (age 45 years)",198.12,"November 16, 1971",Gold,22.8082191781
7,1994,50 metre freestyle,"Gary Hall, Jr.",Men,"September 26, 1974 (age 42 years)",198.12,"September 26, 1974",Silver,19.9452054795
8,1994,50 metre freestyle,Raimundas Mauolis,Men,,,N,Bronze,
9,1998,50 metre freestyle,Bill Pilczuk,Men,"September 14, 1971 (age 45 years)",,"September 14, 1971",Gold,26.9835616438
10,1998,50 metre freestyle,Alexander Popov,Men,"November 16, 1971 (age 45 years)",198.12,"November 16, 1971",Silver,26.8109589041
11,1998,50 metre freestyle,Ricardo Busquets,Men,"October 3, 1974 (age 42 years)",185.42,"October 3, 1974",Bronze,23.9287671233
12,2001,50 metre freestyle,Anthony Ervin,Men,"May 26, 1981 (age 35 years)",190.5,"May 26, 1981",Gold,20.2821917808
13,2001,50 metre freestyle,Pieter van den Hoogenband,Men,"March 14, 1978 (age 38 years)",193.04,"March 14, 1978",Silver,23.4849315068
14,2001,50 metre freestyle,Roland Schoeman,Men,"July 3, 1980 (age 36 years)",190.5,"July 3, 1980",Bronze,21.1780821918
15,2003,50 metre freestyle,Alexander Popov,Men,"November 16, 1971 (age 45 years)",198.12,"November 16, 1971",Gold,
16,2003,50 metre freestyle,Mark Foster,Men,"May 12, 1970 (age 46 years)",198.12,"May 12, 1970",Silver,
