,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal,DOB,height,age,weight_lbs,weight_kg
0,Athens,1896,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,100m freestyle,M,Gold,"February 1, 1878",NA,18,NA,#VALUE!
1,Athens,1896,Aquatics,Swimming,"HERSCHMANN, Otto",AUT,Men,100m freestyle,M,Silver,"January 4, 1877",NA,19,NA,#VALUE!
2,Athens,1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,400m freestyle,M,Bronze,NA,NA,NA,NA,#VALUE!
3,Athens,1896,Aquatics,Swimming,"NEUMANN, Paul",AUT,Men,400m freestyle,M,Gold,26-Jan-25,177.8,NA,NA,#VALUE!
4,Athens,1896,Aquatics,Swimming,"PEPANOS, Antonios",GRE,Men,400m freestyle,M,Silver,1866,NA,30,NA,#VALUE!
5,Paris,1900,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,1500m freestyle,M,Bronze,"June 18, 1881",NA,19,NA,#VALUE!
6,Paris,1900,Aquatics,Swimming,"JARVIS, John Arthur",GBR,Men,1500m freestyle,M,Gold,"February 24, 1872",NA,28,NA,#VALUE!
7,Paris,1900,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,1500m freestyle,M,Silver,"November 5, 1879",NA,20,NA,#VALUE!
8,Paris,1900,Aquatics,Swimming,"DROST, Johannes",NED,Men,200m backstroke,M,Bronze,"June 22, 1880",NA,20,NA,#VALUE!
9,Paris,1900,Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Men,200m backstroke,M,Gold,"July 26, 1878",NA,22,NA,#VALUE!
10,Paris,1900,Aquatics,Swimming,"RUBERL, Karl",AUT,Men,200m backstroke,M,Silver,"October 3, 1880",NA,19,NA,#VALUE!
11,Paris,1900,Aquatics,Swimming,"RUBERL, Karl",AUT,Men,200m freestyle,M,Bronze,"October 3, 1880",NA,19,NA,#VALUE!
12,Paris,1900,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Men,200m freestyle,M,Gold,"February 2, 1880",NA,20,NA,#VALUE!
13,Paris,1900,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,200m freestyle,M,Silver,"June 18, 1881",NA,19,NA,#VALUE!
14,St Louis,1904,Aquatics,Swimming,"ZACHARIAS, Georg",GER,Men,100m backstroke,M,Bronze,NA,NA,NA,NA,#VALUE!
15,St Louis,1904,Aquatics,Swimming,"BRACK, Walter",GER,Men,100m backstroke,M,Gold,"November 20, 1880",NA,23,NA,#VALUE!
16,St Louis,1904,Aquatics,Swimming,"HOFFMANN, Georg",GER,Men,100m backstroke,M,Silver,"March 21, 1880",NA,24,NA,#VALUE!
17,St Louis,1904,Aquatics,Swimming,"LEARY, J. Scott",USA,Men,100m freestyle,M,Bronze,NA,NA,NA,NA,#VALUE!
18,St Louis,1904,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,100m freestyle,M,Gold,"June 18, 1881",NA,23,NA,#VALUE!
19,St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,100m freestyle,M,Silver,"October 28, 1936 (age 80 years)",187.96,NA,154,70
20,St Louis,1904,Aquatics,Swimming,"GAILEY, Francis",USA,Men,1500m freestyle,M,Bronze,"January 21, 1882",NA,22,NA,#VALUE!
21,St Louis,1904,Aquatics,Swimming,"RAUSCH, Emil",GER,Men,1500m freestyle,M,Gold,"September 11, 1883",NA,20,NA,#VALUE!
22,St Louis,1904,Aquatics,Swimming,"KISS, Geza",HUN,Men,1500m freestyle,M,Silver,"October 22, 1882",NA,21,NA,#VALUE!
23,St Louis,1904,Aquatics,Swimming,"RAUSCH, Emil",GER,Men,200m freestyle,M,Bronze,"September 11, 1883",NA,20,NA,#VALUE!
24,St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,200m freestyle,M,Gold,"October 28, 1936 (age 80 years)",187.96,NA,154,70
25,St Louis,1904,Aquatics,Swimming,"GAILEY, Francis",USA,Men,200m freestyle,M,Silver,"January 21, 1882",NA,22,NA,#VALUE!
26,St Louis,1904,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,400m freestyle,M,Bronze,"November 5, 1879",NA,24,NA,#VALUE!
27,St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,400m freestyle,M,Gold,"October 28, 1936 (age 80 years)",187.96,NA,154,70
28,St Louis,1904,Aquatics,Swimming,"GAILEY, Francis",USA,Men,400m freestyle,M,Silver,"January 21, 1882",NA,22,NA,#VALUE!
29,London,1908,Aquatics,Swimming,"HARESNAPE, Herbert Nickall",GBR,Men,100m backstroke,M,Bronze,"July 2, 1880",175.26,28,NA,#VALUE!
30,London,1908,Aquatics,Swimming,"BIEBERSTEIN, Arno",GER,Men,100m backstroke,M,Gold,"October 24, 1884",NA,23,NA,#VALUE!
31,London,1908,Aquatics,Swimming,"DAM, Hans Peter Ludwig",DEN,Men,100m backstroke,M,Silver,NA,NA,NA,NA,#VALUE!
32,London,1908,Aquatics,Swimming,"JULIN, Harald S.A.",SWE,Men,100m freestyle,M,Bronze,NA,NA,NA,NA,#VALUE!
33,London,1908,Aquatics,Swimming,"DANIELS, Charles",USA,Men,100m freestyle,M,Gold,"October 28, 1936 (age 80 years)",187.96,NA,154,70
34,London,1908,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,100m freestyle,M,Silver,"June 18, 1881",NA,27,NA,#VALUE!
35,London,1908,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",ANZ,Men,1500m freestyle,M,Bronze,"May 13, 1891",NA,17,NA,#VALUE!
