,Unnamed: 0,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal,DOB,height,age,weight_lbs,weight_kg,distance,stroke
0,0,Athens,1896,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,100m freestyle,M,Gold,"February 1, 1878",,18.0,,#VALUE!,100m,Freestyle
1,1,Athens,1896,Aquatics,Swimming,"HERSCHMANN, Otto",AUT,Men,100m freestyle,M,Silver,"January 4, 1877",,19.0,,#VALUE!,100m,Freestyle
2,2,Athens,1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,400m freestyle,M,Bronze,,,,,#VALUE!,400m,Freestyle
3,3,Athens,1896,Aquatics,Swimming,"NEUMANN, Paul",AUT,Men,400m freestyle,M,Gold,26-Jan-25,177.8,,,#VALUE!,400m,Freestyle
4,4,Athens,1896,Aquatics,Swimming,"PEPANOS, Antonios",GRE,Men,400m freestyle,M,Silver,1866,,30.0,,#VALUE!,400m,Freestyle
5,5,Paris,1900,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,1500m freestyle,M,Bronze,"June 18, 1881",,19.0,,#VALUE!,1500m,Freestyle
6,6,Paris,1900,Aquatics,Swimming,"JARVIS, John Arthur",GBR,Men,1500m freestyle,M,Gold,"February 24, 1872",,28.0,,#VALUE!,1500m,Freestyle
7,7,Paris,1900,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,1500m freestyle,M,Silver,"November 5, 1879",,20.0,,#VALUE!,1500m,Freestyle
8,8,Paris,1900,Aquatics,Swimming,"DROST, Johannes",NED,Men,200m backstroke,M,Bronze,"June 22, 1880",,20.0,,#VALUE!,200m,Backstroke
9,9,Paris,1900,Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Men,200m backstroke,M,Gold,"July 26, 1878",,22.0,,#VALUE!,200m,Backstroke
10,10,Paris,1900,Aquatics,Swimming,"RUBERL, Karl",AUT,Men,200m backstroke,M,Silver,"October 3, 1880",,19.0,,#VALUE!,200m,Backstroke
11,11,Paris,1900,Aquatics,Swimming,"RUBERL, Karl",AUT,Men,200m freestyle,M,Bronze,"October 3, 1880",,19.0,,#VALUE!,200m,Freestyle
12,12,Paris,1900,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Men,200m freestyle,M,Gold,"February 2, 1880",,20.0,,#VALUE!,200m,Freestyle
13,13,Paris,1900,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,200m freestyle,M,Silver,"June 18, 1881",,19.0,,#VALUE!,200m,Freestyle
14,14,St Louis,1904,Aquatics,Swimming,"ZACHARIAS, Georg",GER,Men,100m backstroke,M,Bronze,,,,,#VALUE!,100m,Backstroke
15,15,St Louis,1904,Aquatics,Swimming,"BRACK, Walter",GER,Men,100m backstroke,M,Gold,"November 20, 1880",,23.0,,#VALUE!,100m,Backstroke
16,16,St Louis,1904,Aquatics,Swimming,"HOFFMANN, Georg",GER,Men,100m backstroke,M,Silver,"March 21, 1880",,24.0,,#VALUE!,100m,Backstroke
17,17,St Louis,1904,Aquatics,Swimming,"LEARY, J. Scott",USA,Men,100m freestyle,M,Bronze,,,,,#VALUE!,100m,Freestyle
